Model,Feature,Target,Importance
WAS,A'ja Wilson,opp_score,0.0
LAS,Brittney Griner,opp_score,0.0
WAS,Aari McDonald,team_score,0.0
WAS,Aari McDonald,opp_score,0.0
WAS,Alanna Smith,team_score,0.0
WAS,Alanna Smith,opp_score,0.0
WAS,Angel Reese,team_score,0.0
IND,Kiah Stokes,opp_score,0.0
CON,Natasha Howard,team_score,0.0
LVA,Rhyne Howard,opp_score,0.0
LVA,Sabrina Ionescu,team_score,0.0
LVA,Sabrina Ionescu,opp_score,0.0
LVA,Satou Sabally,team_score,0.0
LVA,Satou Sabally,opp_score,0.0
LVA,Stefanie Dolson,team_score,0.0
LVA,Stefanie Dolson,opp_score,0.0
IND,Diana Taurasi,opp_score,0.0
LVA,Teaira McCowan,opp_score,0.0
ATL,Bridget Carleton,team_score,0.0
ATL,Chelsea Gray,opp_score,0.0
ATL,Kahleah Copper,opp_score,0.0
CON,Napheesa Collier,opp_score,0.0
ATL,Bridget Carleton,opp_score,0.0
ATL,Brittney Griner,team_score,0.0
ATL,Brittney Griner,opp_score,0.0
ATL,Cameron Brink,team_score,0.0
MIN,Teaira McCowan,team_score,0.0
MIN,Teaira McCowan,opp_score,0.0
MIN,Temi Fagbenle,team_score,0.0
MIN,Temi Fagbenle,opp_score,0.0
MIN,Tina Charles,team_score,0.0
MIN,Tina Charles,opp_score,0.0
IND,Jonquel Jones,opp_score,0.0
IND,Jordan Horston,team_score,0.0
LVA,Kiah Stokes,team_score,0.0
CHI,Diana Taurasi,opp_score,0.0
LAS,Brittney Griner,team_score,0.0
LAS,Bridget Carleton,opp_score,0.0
CHI,Ezi Magbegor,team_score,0.0
CHI,Ezi Magbegor,opp_score,0.0
LVA,Temi Fagbenle,team_score,0.0
LVA,Temi Fagbenle,opp_score,0.0
LVA,Tina Charles,team_score,0.0
LVA,Tina Charles,opp_score,0.0
ATL,Diana Taurasi,team_score,0.0
ATL,Diana Taurasi,opp_score,0.0
ATL,Elizabeth Williams,team_score,0.0
LAS,Elizabeth Williams,team_score,0.0
SEA,Napheesa Collier,opp_score,0.0
LVA,Kiah Stokes,opp_score,0.0
LVA,Monique Billings,team_score,0.0
CHI,Cheyenne Parker-Tyus,team_score,0.0
WAS,Arike Ogunbowale,team_score,0.0
WAS,Arike Ogunbowale,opp_score,0.0
WAS,Azura Stevens,team_score,0.0
WAS,Azura Stevens,opp_score,0.0
LVA,Teaira McCowan,team_score,0.0
IND,Kahleah Copper,team_score,0.0
ATL,Kamilla Cardoso,team_score,0.0
ATL,Kamilla Cardoso,opp_score,0.0
CON,Napheesa Collier,team_score,0.0
DAL,Kamilla Cardoso,team_score,0.0
DAL,A'ja Wilson,team_score,0.0
DAL,Napheesa Collier,team_score,0.0
DAL,Napheesa Collier,opp_score,0.0
DAL,Rhyne Howard,opp_score,0.0
DAL,Jordan Horston,opp_score,0.0
DAL,Sabrina Ionescu,opp_score,0.0
DAL,Stefanie Dolson,team_score,0.0
DAL,Stefanie Dolson,opp_score,0.0
DAL,Temi Fagbenle,team_score,0.0
DAL,Temi Fagbenle,opp_score,0.0
DAL,Tina Charles,team_score,0.0
DAL,Tina Charles,opp_score,0.0
CHI,Aari McDonald,team_score,0.0
DAL,A'ja Wilson,opp_score,0.0
CHI,Azura Stevens,opp_score,0.0
CHI,Breanna Stewart,team_score,0.0
CHI,Breanna Stewart,opp_score,0.0
CHI,Bridget Carleton,team_score,0.0
CHI,Bridget Carleton,opp_score,0.0
DAL,Jackie Young,opp_score,0.0
DAL,Jonquel Jones,team_score,0.0
DAL,Jonquel Jones,opp_score,0.0
DAL,Jordan Horston,team_score,0.0
DAL,Sabrina Ionescu,team_score,0.0
DAL,Nneka Ogwumike,team_score,0.0
DAL,Nneka Ogwumike,opp_score,0.0
LAS,Aaliyah Edwards,team_score,0.0
WAS,Nneka Ogwumike,opp_score,0.0
WAS,Kayla McBride,team_score,0.0
WAS,Kayla McBride,opp_score,0.0
WAS,Kelsey Plum,team_score,0.0
WAS,Breanna Stewart,opp_score,0.0
WAS,Tina Charles,opp_score,0.0
DAL,Kahleah Copper,team_score,0.0
DAL,Kahleah Copper,opp_score,0.0
WAS,Rhyne Howard,opp_score,0.0
WAS,Sabrina Ionescu,team_score,0.0
DAL,Kamilla Cardoso,opp_score,0.0
DAL,Kayla McBride,team_score,0.0
WAS,Jonquel Jones,team_score,0.0
WAS,Nneka Ogwumike,team_score,0.0
LAS,A'ja Wilson,opp_score,0.0
WAS,Odyssey Sims,team_score,0.0
