team,g_num,year,month,day,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,advanced_ortg,advanced_drtg,advanced_pace,advanced_ftr,advanced_3par,advanced_ts_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,offensive_four_factors_efg_pct,offensive_four_factors_tov_pct,offensive_four_factors_orb_pct,offensive_four_factors_ft_per_fga,defensive_four_factors_efg_pct,defensive_four_factors_tov_pct,defensive_four_factors_drb_pct,defensive_four_factors_ft_per_fga
NYL,29,2024,8,22,1,DAL,1,79,71,27,77,0.351,7,29,0.241,18,23,0.783,17,46,21,11,2,10,15,30,69,0.435,2,13,0.154,9,13,0.692,8,38,17,4,6,14,20,101.3,91.0,78.0,0.299,0.377,0.453,54.8,77.8,14.1,3.6,0.396,10.3,36.2,0.234,0.449,15.8,78.4,0.13
NYL,30,2024,8,24,1,CON,2,64,72,24,65,0.369,7,32,0.219,9,12,0.75,11,44,19,6,7,18,15,30,72,0.417,2,13,0.154,10,17,0.588,8,37,20,7,3,9,11,82.7,93.0,77.4,0.185,0.492,0.455,54.3,79.2,7.8,11.9,0.423,20.4,27.5,0.138,0.431,10.2,80.5,0.139
NYL,31,2024,8,26,2,PHO,1,84,70,29,70,0.414,12,29,0.414,14,16,0.875,6,32,21,12,3,13,10,31,67,0.463,5,22,0.227,3,4,0.75,7,31,15,7,4,20,15,104.3,86.9,80.5,0.229,0.414,0.545,50.8,72.4,14.9,6.7,0.5,14.4,20.0,0.2,0.5,22.5,78.8,0.045
NYL,32,2024,8,28,2,LAS,2,88,94,32,63,0.508,10,28,0.357,14,19,0.737,7,32,25,4,5,19,22,35,68,0.515,8,21,0.381,16,22,0.727,5,28,24,12,4,10,16,108.1,115.5,81.4,0.302,0.444,0.617,53.3,78.1,4.9,10.6,0.587,21.0,23.3,0.222,0.574,11.4,83.3,0.235
NYL,33,2024,8,30,2,SEA,1,98,85,34,67,0.507,12,26,0.462,18,20,0.9,17,45,23,4,2,16,12,33,71,0.465,5,23,0.217,14,15,0.933,6,17,19,9,3,5,19,135.7,117.7,72.2,0.299,0.388,0.646,72.6,67.6,5.5,4.2,0.597,17.4,60.7,0.269,0.5,6.1,82.4,0.197
NYL,34,2024,9,5,1,SEA,1,77,70,27,70,0.386,12,27,0.444,11,13,0.846,10,38,24,8,10,12,11,30,70,0.429,6,20,0.3,4,6,0.667,8,33,16,5,6,13,10,102.7,93.4,75.0,0.186,0.386,0.508,53.5,88.9,10.7,20.0,0.471,13.7,28.6,0.157,0.471,15.2,77.8,0.057
NYL,35,2024,9,8,1,LVA,1,75,71,27,69,0.391,5,24,0.208,16,22,0.727,10,39,21,8,5,11,13,23,64,0.359,15,33,0.455,10,10,1.0,2,27,18,7,4,11,23,98.6,93.3,76.1,0.319,0.348,0.477,59.1,77.8,10.5,16.1,0.428,12.3,28.6,0.232,0.477,13.9,93.5,0.156
NYL,36,2024,9,10,2,DAL,1,105,91,38,70,0.543,16,29,0.552,13,14,0.929,5,30,33,5,3,11,20,34,72,0.472,6,24,0.25,17,19,0.895,5,28,24,3,4,11,13,127.8,110.8,82.2,0.2,0.414,0.689,51.7,86.8,6.1,6.3,0.657,12.6,17.9,0.186,0.514,12.0,83.3,0.236
NYL,37,2024,9,12,2,DAL,1,99,67,33,69,0.478,12,30,0.4,21,26,0.808,8,40,25,10,4,10,13,26,71,0.366,4,18,0.222,11,16,0.688,9,33,17,4,2,15,23,122.5,82.9,80.8,0.377,0.435,0.615,54.8,75.8,12.4,7.5,0.565,11.1,25.0,0.304,0.394,16.1,78.0,0.155
NYL,38,2024,9,15,1,MIN,2,79,88,27,69,0.391,8,28,0.286,17,23,0.739,14,35,17,8,5,11,15,35,66,0.53,9,18,0.5,9,11,0.818,9,36,26,6,3,15,18,105.8,117.9,74.7,0.333,0.406,0.499,49.3,63.0,10.7,10.4,0.449,12.2,34.1,0.246,0.598,17.5,70.0,0.136
NYL,39,2024,9,17,2,WAS,1,87,71,34,75,0.453,8,31,0.258,11,15,0.733,12,45,24,9,5,11,25,23,61,0.377,9,26,0.346,16,19,0.842,3,29,16,4,4,16,14,109.2,89.1,79.7,0.2,0.413,0.533,60.8,70.6,11.3,14.3,0.507,11.9,31.6,0.147,0.451,18.7,91.7,0.262
