team,year,month,day,home_away,opp,win_loss,team_score,opp_score,advanced_ortg,advanced_drtg,advanced_pace,advanced_ftr,advanced_3par,advanced_ts_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,offensive_four_factors_efg_pct,offensive_four_factors_tov_pct,offensive_four_factors_orb_pct,offensive_four_factors_ft_per_fga,defensive_four_factors_efg_pct,defensive_four_factors_tov_pct,defensive_four_factors_drb_pct,defensive_four_factors_ft_per_fga
CHI,2024,7,16,1,LVA,1,93,85,110.9,101.3,83.8,0.306,0.181,0.569,57.4,57.1,10.7,4.2,0.514,13.7,23.3,0.264,0.508,13.7,90.3,0.273
CHI,2024,8,15,1,PHO,2,65,85,91.4,119.6,71.1,0.192,0.26,0.411,49.3,51.9,9.8,8.3,0.397,12.2,34.1,0.096,0.661,15.8,78.3,0.119
CHI,2024,8,17,1,LAS,1,90,86,112.2,107.2,80.2,0.333,0.125,0.545,56.0,57.1,5.0,10.6,0.514,12.7,34.3,0.222,0.453,8.6,75.0,0.257
CHI,2024,8,18,1,PHO,2,68,86,89.4,113.1,76.1,0.269,0.179,0.39,51.8,71.4,6.6,2.6,0.359,9.4,34.7,0.154,0.508,11.7,75.0,0.371
CHI,2024,8,23,1,CON,2,80,82,100.2,102.7,79.8,0.338,0.138,0.536,58.3,62.1,8.8,9.3,0.469,17.6,32.3,0.292,0.412,10.7,78.0,0.382
CHI,2024,8,25,1,LVA,2,75,77,95.9,98.5,78.2,0.146,0.183,0.43,51.6,56.7,1.3,15.8,0.409,10.3,30.0,0.098,0.42,3.4,78.0,0.111
CHI,2024,8,28,1,WAS,2,70,74,94.6,100.0,74.0,0.259,0.241,0.542,59.0,70.4,2.7,8.9,0.509,24.5,35.7,0.19,0.5,14.3,78.8,0.121
CHI,2024,8,30,1,IND,2,81,100,100.4,124.0,80.7,0.292,0.347,0.499,57.5,82.8,7.4,2.7,0.465,13.8,33.3,0.194,0.583,12.3,85.3,0.348
CHI,2024,9,1,1,MIN,2,74,79,100.2,106.9,73.8,0.322,0.153,0.549,61.3,55.6,6.8,2.1,0.475,23.8,42.3,0.305,0.493,11.7,75.0,0.143
CHI,2024,9,3,1,LVA,2,71,90,92.5,117.3,76.7,0.317,0.3,0.519,48.3,64.0,10.4,5.4,0.475,19.9,18.8,0.233,0.59,14.6,82.1,0.295
CHI,2024,9,6,1,LAS,1,92,78,115.6,98.0,79.6,0.2,0.229,0.604,57.4,66.7,11.3,10.9,0.564,14.6,25.9,0.186,0.477,14.8,82.4,0.227
CHI,2024,9,8,1,DAL,1,92,77,113.4,94.9,81.1,0.329,0.186,0.574,52.8,54.3,7.4,6.8,0.536,13.0,27.6,0.243,0.426,14.5,69.8,0.189
CHI,2024,9,11,1,WAS,2,58,89,77.0,118.1,75.3,0.157,0.114,0.387,46.4,68.0,9.3,8.9,0.364,16.7,28.2,0.1,0.566,12.7,70.0,0.176
CHI,2024,9,13,1,MIN,2,66,83,85.5,107.6,77.2,0.25,0.25,0.437,46.6,68.0,5.2,12.8,0.397,13.7,22.0,0.176,0.507,11.4,78.1,0.123
CHI,2024,9,15,1,PHO,2,88,93,117.3,123.9,75.1,0.208,0.347,0.56,55.2,81.3,5.3,7.1,0.542,8.2,28.9,0.139,0.614,9.8,89.7,0.182
CHI,2024,9,17,1,ATL,2,70,86,95.5,117.3,73.3,0.262,0.295,0.514,45.3,52.0,1.4,4.3,0.459,16.0,17.6,0.23,0.524,8.5,76.7,0.339
CHI,2024,9,19,1,CON,2,54,87,74.2,119.5,72.7,0.145,0.339,0.409,39.3,76.2,6.9,17.9,0.387,18.5,17.6,0.097,0.543,11.7,66.7,0.157
CON,2024,5,14,1,IND,1,92,71,114.8,88.6,80.1,0.379,0.318,0.597,51.7,62.5,13.7,3.3,0.553,16.3,25.0,0.288,0.56,30.0,84.6,0.3
CON,2024,5,17,1,WAS,1,84,77,107.4,98.4,78.2,0.382,0.294,0.529,50.9,55.2,17.9,8.3,0.441,11.2,25.0,0.353,0.56,23.8,84.0,0.207
CON,2024,5,20,1,IND,1,88,84,117.0,111.7,75.2,0.405,0.257,0.505,47.8,50.0,6.6,8.2,0.432,8.4,39.5,0.324,0.522,18.5,58.1,0.174
CON,2024,5,23,1,MIN,1,83,82,95.6,94.5,77.2,0.313,0.164,0.544,47.6,56.7,11.5,4.3,0.485,17.3,10.0,0.269,0.515,18.1,81.8,0.176
CON,2024,5,25,1,CHI,1,86,82,121.6,115.9,70.7,0.333,0.27,0.595,64.4,54.8,7.1,8.5,0.54,19.0,57.1,0.286,0.5,13.0,71.0,0.281
CON,2024,5,28,1,PHO,1,70,47,90.2,60.6,77.6,0.234,0.312,0.412,46.9,85.2,15.5,11.1,0.383,9.6,26.2,0.143,0.246,21.6,69.2,0.254
CON,2024,5,31,1,DAL,1,74,72,106.3,103.4,69.6,0.4,0.167,0.524,48.3,75.9,11.5,4.3,0.5,12.4,28.1,0.233,0.565,18.0,73.1,0.032
CON,2024,6,2,1,ATL,1,69,50,90.7,65.7,76.1,0.197,0.273,0.481,57.7,78.6,5.3,5.9,0.47,17.3,21.9,0.106,0.306,14.2,82.6,0.134
CON,2024,6,4,1,WAS,1,76,59,106.1,82.4,71.7,0.474,0.263,0.552,45.6,81.5,9.8,11.4,0.526,14.8,20.0,0.281,0.359,18.5,65.8,0.203
CON,2024,6,8,1,NYL,2,75,82,97.2,106.3,77.2,0.239,0.225,0.478,55.6,58.6,3.9,5.7,0.437,14.2,28.2,0.183,0.592,14.3,100.0,0.183
CON,2024,6,10,1,IND,1,89,72,124.5,100.7,71.5,0.369,0.262,0.589,61.2,73.3,12.6,7.9,0.523,11.7,38.7,0.323,0.476,13.5,80.6,0.21
CON,2024,6,12,1,CHI,1,83,75,111.4,100.7,74.5,0.452,0.226,0.558,49.1,75.0,17.5,4.4,0.476,15.9,27.6,0.387,0.534,20.8,71.4,0.224
CON,2024,6,15,1,DAL,1,85,67,115.4,90.9,73.7,0.328,0.269,0.554,56.7,70.0,9.5,6.7,0.493,8.4,24.1,0.284,0.385,13.3,81.6,0.328
CON,2024,6,18,1,LAS,1,79,70,107.1,94.9,73.7,0.154,0.154,0.569,50.9,52.9,13.6,8.6,0.554,12.6,24.1,0.108,0.558,26.9,83.3,0.231
CON,2024,6,21,1,LVA,2,74,85,96.2,110.5,76.9,0.41,0.213,0.514,40.8,53.8,10.4,2.4,0.475,12.2,8.6,0.262,0.523,13.8,72.2,0.262
CON,2024,6,23,1,SEA,2,61,72,81.8,96.6,74.5,0.254,0.209,0.41,52.1,52.0,10.7,6.3,0.388,15.8,30.8,0.134,0.453,16.5,76.5,0.219
CON,2024,6,27,1,WAS,1,94,91,107.7,104.2,77.6,0.384,0.37,0.551,49.2,62.5,13.7,12.5,0.5,10.5,25.0,0.288,0.596,23.6,84.0,0.147
CON,2024,6,28,1,ATL,2,74,78,95.5,100.7,77.5,0.441,0.356,0.525,44.8,87.0,12.9,4.7,0.449,20.4,18.2,0.356,0.544,18.4,80.0,0.281
CON,2024,7,1,1,PHO,1,83,72,122.5,106.3,67.7,0.39,0.339,0.6,67.3,60.7,3.0,7.0,0.517,13.7,42.9,0.373,0.458,8.1,92.6,0.283
CON,2024,7,4,1,MIN,1,78,73,103.5,96.9,75.3,0.197,0.227,0.544,55.6,76.7,13.3,10.8,0.5,16.3,27.6,0.182,0.556,21.4,79.4,0.065
CON,2024,7,7,1,ATL,1,80,67,120.8,101.2,66.2,0.297,0.359,0.553,53.7,71.4,6.0,6.1,0.516,8.8,33.3,0.219,0.441,12.9,73.5,0.254
CON,2024,7,10,1,NYL,2,68,71,93.5,97.6,72.7,0.239,0.254,0.459,51.5,79.2,1.4,4.5,0.403,10.8,17.9,0.209,0.518,12.3,96.6,0.211
CON,2024,7,14,1,PHO,1,96,69,127.5,91.7,75.2,0.269,0.333,0.55,57.1,70.3,12.0,6.8,0.538,7.4,42.1,0.154,0.457,17.0,71.8,0.087
CON,2024,7,16,1,NYL,2,74,82,95.3,105.6,77.7,0.333,0.273,0.489,50.8,60.7,14.2,12.5,0.439,14.7,25.0,0.242,0.534,21.0,79.3,0.322
CON,2024,8,16,1,DAL,1,109,91,127.0,106.0,85.8,0.424,0.303,0.696,41.9,78.9,10.5,7.1,0.659,16.1,12.5,0.333,0.515,20.0,60.5,0.348
CON,2024,8,18,1,ATL,2,70,82,89.5,104.8,78.2,0.338,0.246,0.469,54.1,69.6,10.2,8.5,0.385,18.5,28.9,0.308,0.452,12.6,80.6,0.397
CON,2024,8,20,1,LAS,1,69,61,86.4,76.4,79.9,0.233,0.219,0.429,46.2,75.0,15.0,8.5,0.418,11.1,22.7,0.11,0.409,23.0,76.5,0.106
CON,2024,8,23,1,CHI,1,82,80,102.7,100.2,79.8,0.529,0.368,0.489,41.7,72.0,15.0,10.7,0.412,10.7,22.0,0.382,0.469,17.6,67.7,0.292
CON,2024,8,24,1,NYL,1,72,64,93.0,82.7,77.4,0.236,0.181,0.453,45.7,66.7,9.0,9.1,0.431,10.2,19.5,0.139,0.423,20.4,72.5,0.138
CON,2024,8,28,1,IND,2,80,84,99.0,104.0,80.7,0.258,0.364,0.544,43.5,63.3,17.3,11.1,0.515,16.0,12.9,0.182,0.568,21.1,74.2,0.136
CON,2024,8,31,1,WAS,1,96,85,123.0,108.9,78.0,0.367,0.383,0.689,53.7,76.7,12.8,9.1,0.617,18.7,20.8,0.367,0.587,18.7,80.0,0.175
CON,2024,9,1,1,SEA,1,93,86,116.2,107.5,80.0,0.644,0.153,0.614,50.8,59.4,8.7,14.0,0.568,15.6,29.0,0.441,0.451,12.8,71.9,0.31
CON,2024,9,3,1,SEA,2,64,71,85.6,95.0,74.7,0.293,0.259,0.489,49.2,75.0,9.4,6.7,0.457,18.6,20.0,0.19,0.492,15.9,88.5,0.161
CON,2024,9,6,1,LVA,2,67,72,87.3,93.8,76.7,0.304,0.286,0.528,50.0,64.0,13.0,8.9,0.473,22.1,16.1,0.25,0.431,16.0,80.0,0.246
CON,2024,9,8,1,LAS,1,79,67,103.4,87.7,76.4,0.232,0.261,0.519,54.1,68.8,11.8,12.5,0.507,12.6,25.0,0.13,0.472,23.2,86.2,0.296
CON,2024,9,10,1,LAS,1,86,66,109.3,83.9,78.7,0.226,0.339,0.631,55.0,72.7,10.2,14.6,0.597,16.0,12.0,0.194,0.433,17.2,85.7,0.119
CON,2024,9,13,1,PHO,1,88,69,114.4,89.7,76.9,0.227,0.347,0.533,53.5,69.7,2.6,12.8,0.493,7.8,22.9,0.187,0.417,8.3,83.3,0.125
CON,2024,9,15,1,LVA,2,71,84,97.6,115.4,72.7,0.266,0.297,0.497,50.7,74.1,2.7,6.4,0.469,10.1,19.4,0.172,0.563,7.5,87.1,0.056
CON,2024,9,17,1,MIN,2,76,78,100.2,102.8,75.8,0.167,0.303,0.536,50.0,70.0,11.9,12.0,0.508,18.4,24.2,0.136,0.516,15.7,79.3,0.188
CON,2024,9,19,1,CHI,1,87,54,119.5,74.2,72.7,0.186,0.2,0.574,60.7,68.6,9.6,22.0,0.543,11.7,33.3,0.157,0.387,18.5,82.4,0.097
DAL,2024,5,15,1,CHI,1,87,79,108.9,98.9,79.9,0.122,0.183,0.503,53.2,48.6,8.8,21.1,0.482,14.8,41.7,0.098,0.426,12.3,62.8,0.216
DAL,2024,5,18,1,CHI,2,74,83,88.4,99.2,83.7,0.348,0.273,0.486,48.8,65.2,8.4,13.6,0.402,24.7,36.1,0.318,0.425,16.1,58.7,0.188
DAL,2024,5,21,1,ATL,2,78,83,100.5,107.0,77.6,0.286,0.229,0.495,49.3,56.7,7.7,12.0,0.443,15.1,32.4,0.229,0.465,12.8,64.9,0.222
