team,g_num,year,month,day,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf
CHI,21,2024,7,10,1,ATL,1,78,69,32,74,0.432,6,17,0.353,8,13,0.615,8,43,22,11,8,10,13,28,69,0.406,2,10,0.2,11,16,0.688,5,36,19,6,5,14,11
CHI,22,2024,7,11,2,NYL,2,76,91,34,74,0.459,4,10,0.4,4,7,0.571,10,36,23,3,1,12,18,30,63,0.476,13,23,0.565,18,20,0.9,4,30,25,8,8,7,9
CHI,23,2024,7,13,1,NYL,2,67,81,28,69,0.406,7,15,0.467,4,4,1.0,12,41,15,4,2,14,16,30,71,0.423,11,36,0.306,10,14,0.714,4,28,21,7,6,5,11
CHI,24,2024,7,16,2,LVA,1,93,85,35,72,0.486,4,13,0.308,19,22,0.864,7,35,20,9,2,13,16,31,66,0.47,5,18,0.278,18,22,0.818,3,26,17,11,7,12,14
CHI,25,2024,8,15,1,PHO,2,65,85,27,73,0.37,4,19,0.211,7,14,0.5,15,33,14,7,3,11,20,33,59,0.559,12,23,0.522,7,11,0.636,5,34,26,5,10,12,18
CHI,26,2024,8,17,2,LAS,1,90,86,35,72,0.486,4,9,0.444,16,24,0.667,12,42,20,4,5,12,19,29,74,0.392,9,27,0.333,19,26,0.731,10,33,23,6,4,8,23
CHI,27,2024,8,18,2,PHO,2,68,86,28,78,0.359,0,14,0.0,12,21,0.571,17,44,20,5,1,9,20,28,62,0.452,7,23,0.304,23,31,0.742,9,41,21,5,4,10,19
CHI,28,2024,8,23,2,CON,2,80,82,29,65,0.446,3,9,0.333,19,22,0.864,10,42,18,7,4,16,23,25,68,0.368,6,25,0.24,26,36,0.722,9,30,18,12,6,10,21
CHI,29,2024,8,25,1,LVA,2,75,77,30,82,0.366,7,15,0.467,8,12,0.667,15,47,17,1,9,10,14,31,81,0.383,6,24,0.25,9,10,0.9,9,44,18,6,6,3,15
CHI,30,2024,8,28,1,WAS,2,70,74,27,58,0.466,5,14,0.357,11,15,0.733,10,36,19,2,4,21,17,29,66,0.439,8,21,0.381,8,13,0.615,7,25,19,10,6,12,13
