team,year,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,day,month
WAS,2020,,ATL,W,98,91,35,70,.500,12,34,.353,16,20,.800,9,28,27,7,0,11,17,38,69,.551,8,18,.444,7,12,.583,13,35,26,5,2,14,18,19.0,8.0
WAS,2020,@,DAL,L,92,101,31,73,.425,9,19,.474,21,24,.875,14,43,20,6,3,17,22,33,67,.493,11,25,.440,24,27,.889,2,27,22,10,5,11,21,21.0,8.0
WAS,2020,,PHO,L,87,88,32,77,.416,14,27,.519,9,15,.600,10,30,20,9,4,11,21,29,61,.475,10,22,.455,20,24,.833,8,37,19,5,9,16,20,23.0,8.0
WAS,2020,@,PHO,L,72,94,28,70,.400,9,25,.360,7,10,.700,7,21,17,7,3,13,16,33,58,.569,13,26,.500,15,15,1.000,4,31,25,7,6,14,15,28.0,8.0
WAS,2020,,CON,L,63,76,19,59,.322,8,26,.308,17,19,.895,8,33,16,7,2,16,10,31,68,.456,9,19,.474,5,9,.556,9,35,26,8,2,13,15,30.0,8.0
WAS,2020,@,SEA,L,64,71,26,69,.377,7,27,.259,5,5,1.000,5,25,19,5,3,7,16,24,62,.387,5,21,.238,18,22,.818,11,43,18,5,2,13,10,2.0,9.0
WAS,2020,,CHI,W,79,69,31,64,.484,10,29,.345,7,8,.875,4,31,26,7,1,9,12,28,63,.444,7,26,.269,6,7,.857,4,29,18,5,2,12,14,4.0,9.0
WAS,2020,,DAL,L,94,101,38,72,.528,6,21,.286,12,14,.857,4,30,27,4,3,14,21,33,68,.485,10,24,.417,25,28,.893,4,26,14,9,1,10,14,6.0,9.0
WAS,2020,,MIN,W,89,86,33,61,.541,9,26,.346,14,15,.933,6,23,22,6,1,10,13,36,66,.545,5,18,.278,9,11,.818,10,28,17,4,2,12,14,8.0,9.0
WAS,2020,@,LAS,W,80,72,32,63,.508,9,23,.391,7,12,.583,3,29,24,10,3,10,13,29,70,.414,4,16,.250,10,11,.909,13,41,15,7,4,13,14,10.0,9.0
WAS,2020,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,,
WAS,2020,@,NYL,W,75,58,29,73,.397,6,23,.261,11,11,1.000,9,36,20,15,3,8,11,21,55,.382,9,24,.375,7,8,.875,5,35,16,6,6,25,9,12.0,9.0
WAS,2020,@,ATL,W,85,78,30,67,.448,7,25,.280,18,18,1.000,4,27,21,6,5,1,13,33,71,.465,3,12,.250,9,13,.692,12,40,8,1,0,9,16,13.0,9.0
LVA,2020,,CHI,L,86,88,36,77,.468,0,5,.000,14,19,.737,11,42,23,8,0,17,20,34,74,.459,9,27,.333,11,14,.786,7,33,25,7,3,16,23,26.0,7.0
LVA,2020,,ATL,W,100,70,38,71,.535,6,9,.667,18,26,.692,14,47,16,11,1,19,14,28,70,.400,5,28,.179,9,14,.643,7,25,12,12,5,16,24,29.0,7.0
