Model,Feature,Target,Importance
IND,DeWanna Bonner,team_score,0.0
IND,Kelsey Mitchell,opp_score,0.0
IND,Dearica Hamby,team_score,0.0
IND,Dearica Hamby,opp_score,0.0
IND,Diana Taurasi,team_score,0.0
IND,Diana Taurasi,opp_score,0.0
IND,Elizabeth Williams,team_score,0.0
IND,Elizabeth Williams,opp_score,0.0
IND,Ezi Magbegor,team_score,0.0
IND,Ezi Magbegor,opp_score,0.0
IND,Jackie Young,team_score,0.0
IND,Jonquel Jones,opp_score,0.0
IND,NaLyssa Smith,team_score,0.0
IND,NaLyssa Smith,opp_score,0.0
IND,Napheesa Collier,team_score,0.0
IND,Napheesa Collier,opp_score,0.0
IND,Natasha Howard,team_score,0.0
IND,Natasha Howard,opp_score,0.0
IND,Naz Hillmon,team_score,0.0
IND,Jackie Young,opp_score,0.0
IND,Jonquel Jones,team_score,0.0
IND,Arike Ogunbowale,opp_score,0.0
IND,Jordan Horston,team_score,0.0
IND,Jordan Horston,opp_score,0.0
IND,Kahleah Copper,team_score,0.0
IND,Kahleah Copper,opp_score,0.0
IND,Kamilla Cardoso,team_score,0.0
IND,Kamilla Cardoso,opp_score,0.0
IND,Kayla McBride,team_score,0.0
IND,Kayla McBride,opp_score,0.0
IND,Kelsey Mitchell,team_score,0.0
IND,Ariel Atkins,opp_score,0.0
IND,Allisha Gray,team_score,0.0
IND,Allisha Gray,opp_score,0.0
IND,Alysha Clark,team_score,0.0
IND,Alysha Clark,opp_score,0.0
IND,Alyssa Thomas,team_score,0.0
IND,Alyssa Thomas,opp_score,0.0
IND,Angel Reese,team_score,0.0
IND,Angel Reese,opp_score,0.0
IND,Ariel Atkins,team_score,0.0
IND,Aliyah Boston,opp_score,0.0
IND,Arike Ogunbowale,team_score,0.0
SEA,Aliyah Boston,opp_score,0.0
SEA,Allisha Gray,team_score,0.0
SEA,Allisha Gray,opp_score,0.0
SEA,Alysha Clark,team_score,0.0
SEA,Alysha Clark,opp_score,0.0
SEA,Alyssa Thomas,team_score,0.0
SEA,Alyssa Thomas,opp_score,0.0
SEA,Angel Reese,team_score,0.0
IND,Brittney Griner,opp_score,0.0
IND,Azura Stevens,team_score,0.0
IND,Azura Stevens,opp_score,0.0
IND,Breanna Stewart,team_score,0.0
IND,Breanna Stewart,opp_score,0.0
IND,Bridget Carleton,team_score,0.0
IND,Bridget Carleton,opp_score,0.0
IND,Brionna Jones,team_score,0.0
IND,Brionna Jones,opp_score,0.0
IND,Brittney Griner,team_score,0.0
LAS,Myisha Hines-Allen,team_score,0.0
IND,Caitlin Clark,team_score,0.0
IND,Caitlin Clark,opp_score,0.0
IND,Cameron Brink,team_score,0.0
IND,Cameron Brink,opp_score,0.0
IND,Chelsea Gray,team_score,0.0
IND,Aari McDonald,opp_score,0.0
IND,Alanna Smith,team_score,0.0
IND,Alanna Smith,opp_score,0.0
IND,Aliyah Boston,team_score,0.0
LVA,Skylar Diggins-Smith,team_score,0.0
NYL,Satou Sabally,opp_score,0.0
NYL,Shatori Walker-Kimbrough,team_score,0.0
NYL,Shatori Walker-Kimbrough,opp_score,0.0
NYL,Skylar Diggins-Smith,team_score,0.0
NYL,Skylar Diggins-Smith,opp_score,0.0
NYL,Sophie Cunningham,team_score,0.0
NYL,Marina Mabrey,opp_score,0.0
NYL,Monique Billings,team_score,0.0
LVA,Shatori Walker-Kimbrough,team_score,0.0
LVA,Shatori Walker-Kimbrough,opp_score,0.0
NYL,Satou Sabally,team_score,0.0
LVA,Skylar Diggins-Smith,opp_score,0.0
LVA,Sophie Cunningham,team_score,0.0
LVA,Sophie Cunningham,opp_score,0.0
LVA,Stefanie Dolson,team_score,0.0
LVA,Stefanie Dolson,opp_score,0.0
LVA,Teaira McCowan,team_score,0.0
LVA,Teaira McCowan,opp_score,0.0
LVA,Temi Fagbenle,team_score,0.0
LVA,Temi Fagbenle,opp_score,0.0
NYL,Odyssey Sims,team_score,0.0
NYL,NaLyssa Smith,opp_score,0.0
NYL,Napheesa Collier,team_score,0.0
NYL,Napheesa Collier,opp_score,0.0
NYL,Natasha Howard,team_score,0.0
NYL,Natasha Howard,opp_score,0.0
NYL,Naz Hillmon,team_score,0.0
NYL,Naz Hillmon,opp_score,0.0
NYL,Nneka Ogwumike,team_score,0.0
NYL,Nneka Ogwumike,opp_score,0.0
LVA,Tina Charles,team_score,0.0
NYL,Jordan Horston,opp_score,0.0
NYL,Kahleah Copper,team_score,0.0
NYL,Rebecca Allen,opp_score,0.0
NYL,Rhyne Howard,team_score,0.0
NYL,Rhyne Howard,opp_score,0.0
NYL,Rickea Jackson,team_score,0.0
NYL,Rickea Jackson,opp_score,0.0
